Subject,title,price,description,features,Order_No,Unit,tokenized_text,stemmed_text,lemmatized_text
hp refurbished chromebook 11 4gb 16 hdd chromebook   os     free mouseksh 11 899ksh 14 90020 3 7 out of 5 6 ,hp refurbished chromebook 11 4gb 16 hdd chromebook   os     free mouse,ksh 11 899,  shipping from ksh 166 to embakasi east   utawala mihango gsu,not avilable,1677257050,62,shipping ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu,ship ksh 166 embakasi east utawala mihango gsu
tech week dealofficial storeqwen smart tv wireless mini keyboard with micetouchpadksh 688ksh 1 31648 4 2 out of 5 65 ,qwen smart tv wireless mini keyboard with micetouchpad,ksh 688,  delivery from ksh 102  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,not avilable,1677257060,63,delivery ksh 102 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
hp 32gb metallic flash disk pen drive usb 2 0ksh 580ksh 99942 4 3 out of 5 121 ,hp 32gb metallic flash disk pen drive usb 2 0,ksh 580,  shipping from ksh 84 to embakasi east   utawala mihango gsu,not avilable,1677257070,64,shipping ksh 84 embakasi east utawala mihango gsu,ship ksh 84 embakasi east utawala mihango gsu,ship ksh 84 embakasi east utawala mihango gsu
tech week dealgeneric computer backpack 3 piece set   greyksh 1 050ksh 1 60034 3 3 out of 5 4 ,generic computer backpack 3 piece set   grey,ksh 1 050,  delivery from ksh 102  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,not avilable,1677257080,65,delivery ksh 102 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
generic wired usb  mouse colorful backlight mouse padksh 359ksh 39910 4 2 out of 5 19 ,generic wired usb  mouse colorful backlight mouse pad,ksh 359,  shipping from ksh 102 to embakasi east   utawala mihango gsu,not avilable,1677257089,66,shipping ksh 102 embakasi east utawala mihango gsu,ship ksh 102 embakasi east utawala mihango gsu,ship ksh 102 embakasi east utawala mihango gsu
official storeannov memory card 32gb high speed get free earphonesksh 489ksh 56213 3 9 out of 5 375 ,annov memory card 32gb high speed get free earphones,ksh 489,  shipping from ksh 84 to embakasi east   utawala mihango gsu,not avilable,1677257099,67,shipping ksh 84 embakasi east utawala mihango gsu,ship ksh 84 embakasi east utawala mihango gsu,ship ksh 84 embakasi east utawala mihango gsu
tech week dealadvance 64gb flash disk    silver  free mk giftsksh 1 250ksh 2 20043 4 3 out of 5 63 ,advance 64gb flash disk    silver  free mk gifts,ksh 1 250,  delivery from ksh 84  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,not avilable,1677257110,68,delivery ksh 84 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 84 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 84 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
tech week dealsandisk high performance 32 gb flash diskksh 598ksh 95938 4 8 out of 5 21 ,sandisk high performance 32 gb flash disk,ksh 598,  shipping from ksh 84 to embakasi east   utawala mihango gsu,not avilable,1677257120,69,shipping ksh 84 embakasi east utawala mihango gsu,ship ksh 84 embakasi east utawala mihango gsu,ship ksh 84 embakasi east utawala mihango gsu
official storeqwen wireless mouse rechargeable slient mouse 2 4ghzksh 529ksh 89041 4 5 out of 5 343 ,qwen wireless mouse rechargeable slient mouse 2 4ghz,ksh 529,  delivery from ksh 102  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,ultra slim design  fashionable and convenient ,1677257129,70,delivery ksh 102 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
official storeqwen wireless mouse rechargeable slient mouse 2 4ghzksh 529ksh 89041 4 5 out of 5 343 ,qwen wireless mouse rechargeable slient mouse 2 4ghz,ksh 529,  delivery from ksh 102  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,don t disaseemble the prodcut by your self,1677257129,71,delivery ksh 102 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
