web-scraper-order,web-scraper-start-url,container_link,container_link-href,title,price,description,features,image-src,ratings,ratings-href
"1677256956-56","https://www.jumia.co.ke/computing/","Tech week dealOfficial StoreQwen Mini Wireless Mouse  & Keyboard Combo -BlackKSh 1,290KSh 2,58050%4.5 out of 5(54)","https://www.jumia.co.ke/qwen-mini-wireless-mouse-keyboard-combo-black-65472353.html","Qwen Mini Wireless Mouse  & Keyboard Combo -Black","KSh 1,290","+ delivery from KSh 102 (free delivery if order above KSh 1,999) to Embakasi East - Utawala/mihango/GSU","Notice:","null","(54 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/QW220EA0L16U8NAFAMZ/"
"1677256972-57","https://www.jumia.co.ke/computing/","Tech week dealtenda N300 300 Mbps Wireless WiFi RouterKSh 1,950KSh 2,60025%4.7 out of 5(3)","https://www.jumia.co.ke/tenda-n300-300-mbps-wireless-wifi-router-101194297.html","tenda N300 300 Mbps Wireless WiFi Router","KSh 1,950","+ shipping from KSh 102 to Embakasi East - Utawala/mihango/GSU","","null","(3 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/TE644EA2YPXHYNAFAMZ/"
"1677256990-58","https://www.jumia.co.ke/computing/","HP 64GB High Speed Compact USB Flash DiskKSh 725KSh 1,30044%4 out of 5(55)","https://www.jumia.co.ke/hp-64gb-high-speed-compact-usb-flash-disk-35012244.html","HP 64GB High Speed Compact USB Flash Disk","KSh 725","+ shipping from KSh 84 to Embakasi East - Utawala/mihango/GSU","","null","(55 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/HP246EA0QBT6LNAFAMZ/"
"1677257003-59","https://www.jumia.co.ke/computing/","Tech week dealAdvance 32GB Metallic Flash Disk  Drive Otg Cable + GIFTSKSh 750KSh 1,20038%offers from4.3 out of 5(4)","https://www.jumia.co.ke/32gb-flash-disk-silverfree-usb-cable-gifts-advance-mpg436025.html","Advance 32GB Metallic Flash Disk  Drive Otg Cable + GIFTS","KSh 750","+ shipping from KSh 84 to Embakasi East - Utawala/mihango/GSU","","null","(4 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/AD846EA0EE7D6NAFAMZ/"
"1677257018-60","https://www.jumia.co.ke/computing/","Official StoreQwen 64GB Memory Card High Speed -BlueKSh 629KSh 1,25850%4.3 out of 5(425)","https://www.jumia.co.ke/memory-card-64gb-high-speed-blue-qwen-mpg399528.html","Qwen 64GB Memory Card High Speed -Blue","KSh 629","+ delivery from KSh 84 (free delivery if order above KSh 1,999) to Embakasi East - Utawala/mihango/GSU","Actual capacity：59G","null","(425 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/QW220EA00J9MNNAFAMZ/"
"1677257036-61","https://www.jumia.co.ke/computing/","Tech week dealHP USB Flash Drive-2.0-64gb-silver KE03-18-64gKSh 650KSh 1,00035%4 out of 5(5)","https://www.jumia.co.ke/hp-usb-flash-drive-2.0-64gb-silver-ke03-18-64g-74451214.html","HP USB Flash Drive-2.0-64gb-silver KE03-18-64g","KSh 650","+ delivery from KSh 84 (free delivery if order above KSh 1,999) to Embakasi East - Utawala/mihango/GSU","","null","(5 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/HP246EA0OJE1JNAFAMZ/"
"1677257050-62","https://www.jumia.co.ke/computing/","HP Refurbished Chromebook 11 4GB 16 HDD Chromebook   OS,  + FREE MOUSEKSh 11,899KSh 14,90020%3.7 out of 5(6)","https://www.jumia.co.ke/hp-refurbished-chromebook-11-4gb-16-hdd-chromebook-os-free-mouse-77761059.html","HP Refurbished Chromebook 11 4GB 16 HDD Chromebook   OS,  + FREE MOUSE","KSh 11,899","+ shipping from KSh 166 to Embakasi East - Utawala/mihango/GSU","","null","(6 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/HP246CL1KKJEXNAFAMZ/"
"1677257060-63","https://www.jumia.co.ke/computing/","Tech week dealOfficial StoreQwen Smart TV Wireless Mini Keyboard With MiceTouchpadKSh 688KSh 1,31648%4.2 out of 5(65)","https://www.jumia.co.ke/qwen-smart-tv-wireless-mini-keyboard-with-micetouchpad-62324892.html","Qwen Smart TV Wireless Mini Keyboard With MiceTouchpad","KSh 688","+ delivery from KSh 102 (free delivery if order above KSh 1,999) to Embakasi East - Utawala/mihango/GSU","","null","(65 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/QW220EA0HRMHINAFAMZ/"
"1677257070-64","https://www.jumia.co.ke/computing/","HP 32GB Metallic Flash Disk Pen Drive USB 2.0KSh 580KSh 99942%4.3 out of 5(121)","https://www.jumia.co.ke/hp-32gb-metallic-flash-disk-pen-drive-usb-2.0-39134398.html","HP 32GB Metallic Flash Disk Pen Drive USB 2.0","KSh 580","+ shipping from KSh 84 to Embakasi East - Utawala/mihango/GSU","","null","(121 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/HP246EA1H6XNDNAFAMZ/"
"1677257080-65","https://www.jumia.co.ke/computing/","Tech week dealGeneric Computer Backpack 3-Piece Set - GreyKSh 1,050KSh 1,60034%3.3 out of 5(4)","https://www.jumia.co.ke/generic-computer-backpack-3-piece-set-grey-71655047.html","Generic Computer Backpack 3-Piece Set - Grey","KSh 1,050","+ delivery from KSh 102 (free delivery if order above KSh 1,999) to Embakasi East - Utawala/mihango/GSU","","null","(4 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/GE840EA1839OHNAFAMZ/"
"1677257089-66","https://www.jumia.co.ke/computing/","Generic Wired USB  Mouse Colorful Backlight+Mouse PadKSh 359KSh 39910%4.2 out of 5(19)","https://www.jumia.co.ke/generic-wired-usb-mouse-colorful-backlightmouse-pad-73945357.html","Generic Wired USB  Mouse Colorful Backlight+Mouse Pad","KSh 359","+ shipping from KSh 102 to Embakasi East - Utawala/mihango/GSU","","null","(19 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/GE840EA18V48PNAFAMZ/"
"1677257099-67","https://www.jumia.co.ke/computing/","Official StoreAnnov Memory Card 32GB High Speed,Get Free EarphonesKSh 489KSh 56213%3.9 out of 5(375)","https://www.jumia.co.ke/annov-memory-card-32gb-high-speedget-free-earphones-30859110.html","Annov Memory Card 32GB High Speed,Get Free Earphones","KSh 489","+ shipping from KSh 84 to Embakasi East - Utawala/mihango/GSU","","null","(375 verified ratings)","https://www.jumia.co.ke/catalog/productratingsreviews/sku/AN944EA00PMORNAFAMZ/"
